angle;steering;sonarAngle;fronDistance;leftDistance;rightDistance,distance;fullDistance
0;0,0;0,0;38,3;34,0;57,20000000000001;0,0;0,0
-3;10,734375;0,0;130,5;32,1;58,8;40,50354330708661;40,50354330708661
-3;10,734375;0,2;130,5;32,1;58,70000000000001;41,06609251968504;41,06609251968504
-3;11,934375;1,0;129,0;32,1;58,70000000000001;41,62864173228346;41,62864173228346
-3;14,134375;2,0;129,0;32,1;58,70000000000001;42,0304625984252;42,0304625984252
-3;15,534375;3,4;129,0;32,1;32,6;42,51264763779528;42,51264763779528
-3;16,134375;4,4;127,8;32,1;32,6;42,99483267716535;42,99483267716535
-3;16,134375;3,8;127,8;32,1;32,6;43,55738188976377;43,55738188976377
-3;16,134375;2,6;127,8;32,1;32,1;43,95920275590551;43,95920275590551
-2;16,134375;1,6;126,3;32,1;32,1;44,52175196850393;44,52175196850393
-2;16,134375;2,0;126,3;32,6;32,1;44,92357283464567;44,92357283464567
-2;15,934375;3,0;126,3;32,6;59,1;45,56648622047244;45,56648622047244
-2;15,334375;3,2;123,7;32,6;59,1;46,04867125984252;46,04867125984252
-2;14,734375;2,0;123,7;32,1;59,1;46,85231299212599;46,85231299212599
-2;14,534375;1,0;123,7;32,1;59,0;47,33449803149607;47,33449803149607
-1;14,534375;1,4;122,5;32,1;59,0;47,7363188976378;47,7363188976378
-1;14,534375;2,4;122,5;32,1;59,0;48,29886811023622;48,29886811023622
-1;14,334375;1,2;122,5;32,1;59,1;49,18287401574803;49,18287401574803
-1;14,334375;0,0;120,1;32,1;59,1;49,66505905511811;49,66505905511811
-1;14,334375;0,6;120,1;32,1;59,1;50,22760826771654;50,22760826771654
-1;14,334375;1,8;120,1;32,1;59,5;50,8705216535433;50,8705216535433
-1;14,334375;2,0;119,0;32,1;59,5;51,35270669291338;51,35270669291338
0;14,334375;1,2;119,0;36,4;59,5;51,99562007874015;51,99562007874015
0;14,334375;0,0;119,0;36,4;59,0;52,47780511811023;52,47780511811023
0;14,334375;-0,8;84,70000000000001;36,4;59,0;52,95999015748031;52,95999015748031
0;13,934375;-0,8;84,70000000000001;36,4;59,0;53,60290354330708;53,60290354330708
0;13,134375;0,2;84,70000000000001;36,4;59,1;54,08508858267716;54,08508858267716
0;12,334375;1,0;115,4;36,4;59,1;54,56727362204724;54,56727362204724
0;11,734375;0,4;115,4;32,1;59,1;55,21018700787401;55,21018700787401
1;10,734375;-0,8;115,4;32,1;58,6;56,01382874015748;56,01382874015748
1;10,534375;-0,8;113,9;32,1;58,6;56,57637795275591;56,57637795275591
1;10,134375;-1,0;113,9;32,1;58,6;57,05856299212599;57,05856299212599
1;9,734375000000004;-1,0;113,9;32,1;59,1;57,54074803149607;57,54074803149607
1;8,734375000000004;-1,0;111,9;32,1;59,1;58,42475393700788;58,42475393700788
1;8,734375000000004;-1,0;111,9;32,1;59,1;59,46948818897638;59,46948818897638
1;8,734375000000004;-1,0;111,9;32,1;38,0;60,0320374015748;60,0320374015748
1;8,734375000000004;-1,0;109,9;32,1;38,0;60,59458661417323;60,59458661417323
2;8,734375000000004;-1,0;109,9;32,1;38,0;61,15713582677166;61,15713582677166
