angle;steering;sonarAngle;fronDistance;leftDistance;rightDistance,distance;fullDistance
0;0,0;0,0;149,8;41,6;29,6;0,0;0,0
3;-5,938961038961039;0,0;110,5;64,40000000000001;25,9;40,6642716535433;40,6642716535433
3;-5,938961038961039;0,0;110,5;64,90000000000001;25,9;41,30718503937008;41,30718503937008
3;-5,938961038961039;-0,8;110,5;64,90000000000001;25,9;41,78937007874016;41,78937007874016
3;-6,538961038961038;-2,6;108,0;64,90000000000001;25,9;42,43228346456693;42,43228346456693
3;-7,338961038961039;-3,8;108,0;32,1;25,9;42,914468503937;42,914468503937
3;-8,138961038961039;-4,0;108,0;32,1;25,7;43,39665354330708;43,39665354330708
3;-8,738961038961039;-3,0;106,6;32,1;25,7;43,87883858267716;43,87883858267716
3;-9,738961038961039;-2,0;106,6;65,3;25,7;44,52175196850393;44,52175196850393
3;-10,53896103896104;-2,8;106,6;65,3;25,1;45,3253937007874;45,3253937007874
3;-10,53896103896104;-3,8;104,6;65,3;25,1;45,80757874015748;45,80757874015748
3;-10,33896103896104;-3,8;104,6;65,1;25,1;46,28976377952756;46,28976377952756
3;-10,33896103896104;-3,0;104,6;65,1;25,5;46,77194881889764;46,77194881889764
3;-10,33896103896104;-1,8;103,2;65,1;25,5;47,25413385826772;47,25413385826772
3;-10,33896103896104;-1,6;103,2;34,8;25,5;47,7363188976378;47,7363188976378
3;-10,33896103896104;-2,4;103,2;34,8;25,1;48,21850393700787;48,21850393700787
2;-10,33896103896104;-3,6;102,0;34,8;25,1;48,70068897637795;48,70068897637795
2;-10,33896103896104;-4,8;102,0;65,8;25,1;49,18287401574803;49,18287401574803
2;-10,33896103896104;-4,4;102,0;65,8;25,7;49,66505905511811;49,66505905511811
2;-10,33896103896104;-3,2;100,0;65,8;25,7;50,14724409448819;50,14724409448819
2;-10,33896103896104;-1,8;100,0;65,3;25,7;50,62942913385827;50,62942913385827
2;-10,33896103896104;-1,0;100,0;65,3;25,1;51,11161417322834;51,11161417322834
2;-10,33896103896104;-1,6;98,59999999999999;65,3;25,1;51,59379921259842;51,59379921259842
2;-10,33896103896104;-2,6;98,59999999999999;65,6;25,1;52,0759842519685;52,0759842519685
2;-10,33896103896104;-3,6;98,59999999999999;65,6;24,9;52,55816929133858;52,55816929133858
2;-10,33896103896104;-3,2;97,10000000000001;65,6;24,9;52,95999015748031;52,95999015748031
2;-10,33896103896104;-1,8;97,10000000000001;65,8;24,9;53,44217519685039;53,44217519685039
1;-10,33896103896104;-0,8;97,10000000000001;65,8;24,9;54,00472440944881;54,00472440944881
1;-10,33896103896104;-2,4;95,40000000000001;65,8;24,9;54,88873031496063;54,88873031496063
1;-10,33896103896104;-1,6;95,40000000000001;65,8;24,9;55,29055118110236;55,29055118110236
1;-10,33896103896104;-0,4;95,40000000000001;65,8;25,1;55,93346456692913;55,93346456692913
1;-10,33896103896104;-0,4;93,90000000000001;65,8;25,1;56,41564960629921;56,41564960629921
1;-10,33896103896104;-1,2;93,90000000000001;65,50000000000001;25,1;56,89783464566929;56,89783464566929
0;-10,33896103896104;-2,0;93,90000000000001;65,50000000000001;25,5;57,46038385826772;57,46038385826772
0;-10,33896103896104;-1,2;92,09999999999999;65,50000000000001;25,5;57,86220472440945;57,86220472440945
0;-10,33896103896104;0,0;92,09999999999999;65,8;25,5;58,26402559055119;58,26402559055119
0;-9,138961038961039;1,0;92,09999999999999;65,8;24,7;58,82657480314961;58,82657480314961
0;-6,138961038961039;1,4;90,90000000000002;65,8;24,7;59,30875984251968;59,30875984251968
0;-3,738961038961039;0,6;90,90000000000002;66,00000000000001;24,7;59,79094488188976;59,79094488188976
0;-2,538961038961039;-0,6;90,90000000000002;66,00000000000001;24,3;60,27312992125984;60,27312992125984
0;-2,138961038961039;-1,4;89,40000000000001;66,00000000000001;24,3;60,67495078740158;60,67495078740158
0;-2,138961038961039;-0,6;89,40000000000001;66,00000000000001;24,3;61,2375;61,2375
0;-2,138961038961039;0,6;89,40000000000001;66,00000000000001;24,3;61,71968503937008;61,71968503937008
